2025-08-01 07:57:41 | INFO     | logging_config:__init__:37 | Logging system initialized with level: INFO
2025-08-01 07:57:41 | INFO     | __main__:__init__:40 | Anomaly Detection System initialized
2025-08-01 07:57:41 | INFO     | __main__:main:422 | Starting monitoring mode...
2025-08-01 07:57:41 | INFO     | __main__:load_saved_model:300 | Loading saved model from cpu_anomaly_model.pkl
2025-08-01 07:57:41 | INFO     | anomaly_model:load_model:490 | Model loaded from cpu_anomaly_model.pkl
2025-08-01 07:57:41 | INFO     | anomaly_model:load_model:491 | Model was trained at: 2025-08-01T07:57:12.816562
2025-08-01 07:57:41 | INFO     | __main__:load_saved_model:305 | Model loaded successfully
2025-08-01 07:57:41 | INFO     | prometheus_client:__init__:41 | Initialized Prometheus client for http://localhost:9090
2025-08-01 07:57:41 | ERROR    | prometheus_client:check_connection:59 | Failed to connect to Prometheus server: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/status/config (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1540b6ad50>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:41 | WARNING  | __main__:setup_prometheus_client:224 | Could not connect to Prometheus - will use simulation mode
2025-08-01 07:57:41 | INFO     | logging_config:log_system_status:262 | System status - prometheus: simulation_mode
2025-08-01 07:57:41 | INFO     | prometheus_client:__init__:371 | Real-time anomaly monitor initialized
2025-08-01 07:57:41 | INFO     | __main__:start_real_time_monitoring:283 | Starting real-time monitoring (interval: 5s)
2025-08-01 07:57:41 | INFO     | logging_config:log_system_status:262 | System status - monitor: started
2025-08-01 07:57:41 | INFO     | prometheus_client:monitor_cpu_continuous:283 | Starting continuous CPU monitoring (interval: 5s)
2025-08-01 07:57:41 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1540bc4b60>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:42 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b2570>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:44 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b28a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:44 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: 100 - (avg by (instance) (rate(node_cpu_seconds_total{mode="idle"}[5m])) * 100)
2025-08-01 07:57:44 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b2a50>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:45 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15416ceff0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:47 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1540bc4a40>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:47 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: avg(100 - (avg by (instance) (rate(cpu_usage_idle[5m])) * 100))
2025-08-01 07:57:47 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b2570>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:48 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b2ea0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:50 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b31d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:50 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: cpu_usage_percent
2025-08-01 07:57:50 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b3680>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:51 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b3a10>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:53 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b3dd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:53 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: system_cpu_usage
2025-08-01 07:57:53 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1540a28290>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:54 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1540a285f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:56 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15409b3e30>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:57:56 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: container_cpu_usage_seconds_total
2025-08-01 07:57:56 | WARNING  | prometheus_client:get_cpu_usage:193 | No CPU usage data found with any of the standard queries
2025-08-01 07:57:56 | WARNING  | prometheus_client:monitor_cpu_continuous:293 | Failed to get CPU data, using simulation
2025-08-01 07:57:56 | INFO     | prometheus_client:monitor_cpu_continuous:297 | CPU Usage: 0.602 at 2025-08-01 07:57:56.117396
2025-08-01 07:57:56 | INFO     | logging_config:log_cpu_usage:123 | CPU Usage: 0.602 (60.2%) from simulated
2025-08-01 07:57:56 | INFO     | logging_config:log_cpu_usage:123 | CPU Usage: 0.602 (60.2%) from simulated
